h3_cell,listing_count,unlicensed_rate,mean_price,coef_bw30,coef_bw60,coef_bw101,sig_bw30,sig_bw60,sig_bw101
881ec91089fffff,14,0.42857142857142855,5261.0,-0.3095531928197557,-0.22386674054468003,-0.20759248499759914,1,1,1
881ec9108bfffff,231,0.22077922077922077,3576.5194805194806,-0.2378459170380613,-0.23711185469287377,-0.21278954278900303,1,1,1
881ec9108dfffff,67,0.14925373134328357,3924.686567164179,-0.4129712700642135,-0.24246123775679934,-0.21162277987113848,1,1,1
881ec91091fffff,32,0.3125,3283.65625,-0.3313907630824363,-0.2674650225346871,-0.2339370053451516,1,1,1
881ec91093fffff,148,0.12162162162162163,3264.445945945946,-0.3413581864227416,-0.2629721943652963,-0.2489823390370306,1,1,1
881ec91095fffff,145,0.46206896551724136,3414.7724137931036,-0.2528722871465934,-0.2748121143489846,-0.2365598081950428,0,1,1
881ec91097fffff,98,0.42857142857142855,3417.081632653061,-0.29190665244531455,-0.2693292541706649,-0.24864802381717485,1,1,1
881ec91099fffff,67,0.22388059701492538,4168.074626865671,-0.29110420423123556,-0.2516927019566807,-0.21928728701351324,1,1,1
881ec9109bfffff,11,0.09090909090909091,6054.727272727273,-0.2971608167449649,-0.265666691486233,-0.2325985844239728,1,1,1
881ec9109dfffff,116,0.49137931034482757,3019.560344827586,-0.27163945559102654,-0.2618698551546702,-0.2210025518858456,1,1,1
881ec910a1fffff,22,0.36363636363636365,2684.909090909091,-0.3190359391348683,-0.2843780482651449,-0.2052786679469341,1,1,1
881ec910a3fffff,1000,0.167,2613.554,-0.37713648611723805,-0.3037671325038266,-0.22216147597331348,1,1,1
881ec910a5fffff,72,0.06944444444444445,3080.1111111111113,-0.2387528752742151,-0.2256064254621834,-0.1858146292862518,1,1,1
881ec910abfffff,62,0.0967741935483871,3147.3225806451615,-0.4094203617353236,-0.3058915832856199,-0.22075379573961446,1,1,1
881ec910adfffff,14,0.21428571428571427,2372.3571428571427,-0.2121639040886224,-0.23946801664261774,-0.19294375021772905,1,1,1
881ec910b1fffff,274,0.19708029197080293,4779.474452554745,-0.22545016063407888,-0.2552340252975909,-0.23374711234371645,1,1,1
881ec910b5fffff,1394,0.19440459110473457,3768.2431850789094,-0.28988753476338264,-0.24688664838437366,-0.22368050171189788,0,1,1
881ec910b7fffff,11,0.18181818181818182,5158.454545454545,-0.2429894299956642,-0.24513733179527392,-0.22706927597370702,1,1,1
881ec910b9fffff,113,0.23008849557522124,3134.7433628318586,-0.25786284930569264,-0.28069167051958477,-0.23283797021407354,0,1,1
881ec910bbfffff,143,0.2517482517482518,3998.6573426573427,-0.211300373828803,-0.27669472179767896,-0.24313376505055517,1,1,1
881ec910bdfffff,1420,0.19577464788732393,2609.3204225352115,-0.35156329398443403,-0.27602403455030255,-0.2284189735395905,1,1,1
881ec910c1fffff,6,0.16666666666666666,1553.6666666666667,-0.17941694180346365,-0.19440230093297461,-0.194481679576692,0,1,1
881ec910c3fffff,17,0.6470588235294118,1724.3529411764705,-0.1794201847418182,-0.1979710941667373,-0.19953632494176154,0,1,1
881ec910c7fffff,14,0.14285714285714285,4014.714285714286,-0.28382238336876564,-0.21266784951307927,-0.20167579202056762,1,1,1
881ec910cbfffff,52,0.07692307692307693,2369.326923076923,-0.13545197257537278,-0.17596563104400698,-0.19533312425605187,0,1,1
881ec910d1fffff,108,0.7685185185185185,2242.037037037037,-0.18077190863925297,-0.1959999245363815,-0.20555752738340588,1,1,1
881ec910d3fffff,25,0.68,3092.28,-0.3001332644624239,-0.22906906867631227,-0.21192169638085867,1,1,1
881ec910d5fffff,101,0.18811881188118812,2221.4950495049507,-0.16590376677086624,-0.20551411316024504,-0.20426695743038914,0,1,1
881ec910d7fffff,106,0.3490566037735849,2995.3207547169814,-0.24838323970857873,-0.22851220676990502,-0.210633389259474,1,1,1
881ec910d9fffff,26,0.23076923076923078,3198.153846153846,-0.09874373549227144,-0.1803525756276949,-0.20325162832059843,0,1,1
881ec910dbfffff,35,0.4857142857142857,2810.3714285714286,-0.25982588327180345,-0.20344154691990057,-0.20839302520303882,1,1,1
881ec910ddfffff,27,0.5925925925925926,4171.7037037037035,-0.08631057651737128,-0.17225549354024405,-0.20035412252454196,0,1,1
881ec910e1fffff,10,0.5,1837.8,-0.2576317545163147,-0.22466087140550783,-0.1958580878058277,1,1,1
881ec910e3fffff,13,0.3076923076923077,1766.1538461538462,-0.3390520225869308,-0.2508795897661165,-0.20733033439845666,1,1,1
881ec910e5fffff,6,0.6666666666666666,2859.3333333333335,-0.20880885240319502,-0.19855247502660442,-0.1781189461397112,1,1,1
881ec910e7fffff,6,0.3333333333333333,1942.1666666666667,-0.23557005767456296,-0.23818581411661033,-0.1954912096163111,1,1,1
881ec910e9fffff,18,0.4444444444444444,1864.3333333333333,-0.24519593963950176,-0.20531145954520238,-0.1917129553359352,1,1,1
